"company","title","powerbi","qlik","tableau","description"
"Dataa ","business intelligence project manager",TRUE,TRUE,TRUE,"Description :
You will coordinate the BI projects or the BI parts of IT projects for the client. Next to this role you will support the Business Analysts and the Designers to translate the business needs into a BI solution.

As a Business Intelligence Project Manager, you will :

Initiate by checking feasibility and working out budgets, teams and resources
Plan by setting goals, defining roles and producing schedules of tasks
Be working with employees, customers and management, often spinning multiple plates at once
Meet budgetary objectives and make some adjustments to protect constraints based on financial analysis
Be analyzing data and taking decisions that affect the project on a regular basis
Use and continually develop leadership skills
Coordinate developers' activities to deliver qualitative BI applications, from design to testing
Make frequent communication with the users to collect and clarify requirements, monitor progresses.
Manage projects and make sure they are delivered on time, on budget and respecting the project methodology.
Manage issues and risks
Report project progress at all levels, including senior management and/or the sponsor/client
Help the testing teams to define the testing strategy of data storage architectures
You collect the requirements for the developments to formalize them into formal templates for the classic developments and validate if the data needed by the business is available
You understand the data models created by the designers and validate that they are in line with the business need
You'll support the testing by defining the scope of the testing, developing business test scenarios and review test cases prepared by testers, participating to the test execution handled by testers to ensure that requirements have been correctly implemented and by providing support to the end-users (Operations) during the User Acceptance Test (UAT)

Profile :


You are fluent in French and good in English and/or Dutch.
You hold a Master degree
You have 2 years in the role of project leader
You have problem solving skills, analytical spirit and hands-on experience
You are dynamic with excellent interpersonal skills
You have a proven experience of min 2 years with of BI project
You have experiences in business analysis or BI designing
You have clearly shown interest in the business and their processes and with ability to communicate in a proper way with the BI users
Knowledge of an ERP package (SAP, Oracle, JDEdwards...) is an asset.
Knowledge of the following technologies is a strong asset: data warehouse, data modeling, ETL, SAS, SAP, Tableau, Qlik, Power BI, Shiny
You have ability to work in team and cooperate with your colleagues to share the important information


Our offer :
Intys Data is a company dedicated to guiding customers leverage their digital transformation on a large scale. We support our clients to reinvent or grow their business by combining data-driven technologies with a lean driven approach.

In addition to a competitive salary, supplemented with attractive fringe benefits, we offer you an entrepreneurial, nurturing and growing environment with challenging career opportunities and training possibilities.

The company offices are in Brussels, Belgium.

Website: www.intys-data.eu

Interested in this challenging position?"
"Philip Morris International ","commercial analyst",FALSE,FALSE,TRUE,"A Smoke-free future is closer than you may think! Are you looking for an analytical position and are you passionate about sharing your insights to bring our commercial organization to the next level? Are you open-minded? Do you thrive in transformation projects where you can challenge the status-quo and drive change despite head winds? Philip Morris International has taken a bold step in changing the tobacco industry as we know it today. A future where cigarettes no longer exist. It’s the biggest shift in our history. And it’s the right one for our consumers, our company, our shareholders, and society. We have developed a range of completely new, innovative product platforms. Our dream is to convert every adult smoker that would otherwise continue to smoke to these smoke-free platforms, as fast as we can. To help us achieve our dream, we need your help! If you get motivated by being part of something that will change the way tobacco will be enjoyed in the future, then keep on reading! THE OPPORTUNITY We are looking for a Commercial Analyst who will work together with our commercial teams to provide a comprehensive analysis and interpretation of performance data. The Commercial Analyst plays a central role in understanding performance and is the knowledgeable advisor to increase the effectiveness of our sales teams. This role gives you the opportunity to understand our Marketing & Sales Organization and it will be the perfect base to grow a career within Philip Morris International. YOUR ROLE - You will be part of a team of analysts who are responsible for all commercial reporting in the Benelux markets - You gather, combine and consolidate data from different sources to come to actionable insights - You will be in day-to-day contact with internal stakeholders to add qualitative insights to your analysis - You analyze recent sales activities and draw conclusions to improve future ways of working - You are responsible for new and recurring reporting needs - You are responsible for the monitoring of our KPI’s and you advise on strategic improvements - You participate in cross-departmental projects where your analytical role in the organization contributes to fast and data-informed decision making. PROFILE • You have a University Degree (Master) and already a first experience in an analytical role. • You are able to link your analytical skillset with a clear communication style. • You get energy out of obtaining results. • You are pro-active, impactful with a hands-on mentality. • Open personality and good communication skills. • Excellent knowledge of MS Office, Tableau is considered a plus WHAT WE OFFER You will join a company that invests in you. We will support your growth as an employee through individual development and structured career management. You will join a dynamic, fast-paced work environment in a constantly evolving industry. Our employees have the courage, curiosity, and conviction to see possibilities where others only see challenges. We offer a competitive salary and benefits package. WHO WE ARE PMI is the world’s leading international tobacco company, with six of the world's top 15 international brands and products sold in more than 180 markets. In addition to the manufacture and sale of cigarettes, including the number one global cigarette brand (Marlboro), and other tobacco products, PMI is engaged in the development and commercialization of Reduced-Risk Products (RRPs). RRPs is the term we use to refer to products that present, are likely to present, or have the potential to present less risk of harm to smokers who switch to these products versus continued smoking. Through multidisciplinary capabilities in product development, state-of-the-art facilities, and industry-leading scientific substantiation, PMI aims to provide an RRP portfolio that meets a broad spectrum of adult smoker preferences and rigorous regulatory requirements. For more information, see www.pmi.com and www.pmiscience.com."
"Bisnode Belgium ","business intelligence consultant",TRUE,TRUE,TRUE,"Bisnode is the leading local and international expert offering a complete portfolio of B2C and B2B data and cross-channel marketing solutions.
We turn data into insights and enable companies and organizations throughout Europe to make smart decisions in both strategic issues and daily operations.
Bisnode Belgium offers all solutions to make smarter business decisions: We help our customers creating a real Single Customer View, gaining in depth insights in every phase of the Customer Life Cycle, and act upon these insights through all possible media channels.

Bisnode Belgium, located in Anderlecht, employs more than 160 motivated colleagues and is part of the Swedish Bisnode Group. The Bisnode Group is active in 17 European countries and currently employs more than 2400 people.

Have a look at www.bisnode.be
We are now looking for a top new colleague as

BUSINESS INTELLIGENCE CONSULTANT (m/v)

“Data Scientists (is) the sexiest job of the 21th century”
(Thomas H. Davenport, Harvard Business Review October 2012).
WE AGREE!
In the Business Intelligence department, the goal is to improve decisions processes of our clients by actively using patterns hidden in any kind of data: transactional, web, interaction, socio-demo, social, etc. We develop solutions that truly and radically change the way companies make decisions. Our clients come from different industries, namely Finance, Telco, FMCG, Retail and Automotive. Our colleagues enjoy working in a flat organization where everybody is really part of a team and where autonomy and creativity is part of the game.
Are you interested to deeply understand the business processes of a company to improve their decisions based on extracting relevant information from their data? Are you interested in predictive modelling, data mining, business intelligence in general? You have affinity with statistics? You want to be part of a company already active in this field for more than a decade? Then the role of BI Consultant, may be a dream coming true.

In the role of BI Consultant, you will be advising clients of different industries and sizes, improving their business processes to reach business objectives such as marketing campaign optimization, leads identification, communication improvement, risk evaluation, market potential analysis, etc.

Based on your thorough knowledge of BI you feel comfortable communicating with the client and find it easy to analyze and translate their business needs and potential actions into decision processes based on business analysis, data analysis, data modelling, and predictive modelling, which you clearly explain to our customers, by offering a clear visualization of the results with modern tools such as Tableau, QlikView or Power BI. This means you will be actively supporting pre-sales and sales actions, writing proposals and ensure that our BI solutions are innovative and well presented in the market.

As a team player you will be developing the solutions for the customer in collaboration with colleagues from different teams. You are responsible for performing data preparation processes in SAS or using other ETL tools and contributing to the creation and maintenance of a working methodology by developing data processes & industry specific templates as well as best practices in accordance with our standards.
You have a master degree with a strong analytical mindset. You love to work with data and be intellectually challenged

You can rely on several years of experience in data analysis, business analysis, or risk analysis which you combine with a strong client orientation and excellent communication skills in Dutch or French and English. Working in a team and interact with people gives you energy.

Knowledge of SAS, Python, R or other data manipulation tools are a huge plus.

We offer our employees a great work environment and a strong team that actively encourages motivation, that stands for exciting projects and longterm collaborations with the biggest brands. Bisnode Belgium guarantees an attractive salary and various fringe benefits including a company car.
Please apply via jobs.bisnode.be
Bisnode Belgium NV - Researchdreef 65 1070 Anderlecht"
"SWORD ","business intelligence analyst",FALSE,TRUE,FALSE,"Our office in Brussels is constantly looking for Application developers to work in the European Institutions. If you are interested to learn about our current openings in Bruxelles, please click here.
Mission/Role:
As a BI Analyst your tasks and responsibilities will include
Design and development of online analytical data processing (OLAP)
Creation and maintenance of a data warehouse
Gathering business requirements
Development of data mining solutions
ETL processes
Data modelling
Design and development of reporting applications
Physical DB design
DB performance analysis
Elaboration of test programs
Writing of technical documentation
Assistance with deployment and configuration of the system
Participation in meetings with the project teams
Knowledge and skills:
In depth knowledge of business intelligence reporting tools in SAP Business Objects Data Integrator/ Business Objects Designer / QlikView / Oracle RDBMS/ Web Intelligence
Good knowledge of ETL tools
Good knowledge of modelling tools
Good knowledge of online analytical data processing (OLAP) and data mining tools
Ability to cope with fast changing technologies used in application developments
Ability to participate in multi-lingual meetings, ease of communication
Capability of integration in an international/multi-cultural environment, rapid self-starting capability and experience in working in team
QlikView is considered an asset
If you are interested to learn about our current openings in Bruxelles, please click here."
"LACO Information Services ","microsoft power bi analyst-developer",TRUE,FALSE,FALSE,"Tasks:
Gather analytical and reporting requirements in workshops and translate these into functional and data analysis.
Propose and indicate requirements based on mock-ups of reports and data extracts.
Designing Power BI reports and Visuals.
Proposing the appropriate Visuals to give insights to the end user.
Writing DAX statements to perform the complex calculations on the data from the MySQL db.
Design and development of the security model to be implemented.
Performing unit and integration tests; drafting and supervising acceptance tests.
Writing technical and user documentation.
Preparation and demonstration in Power BI with prospects.
Profiel
Min. 1 year of experience in implementation projects on the Microsoft Data Platform.
Good knowledge of the following technologies / techniques:
– Power BI
– SQL Server databases.
– T-SQL, DAX
Nice to have:
– SQL Server Integration Services
– SQL Server Analysis Services
– SQL Server Reporting Services.
Contact
If you are interested in this position, don’t hesitate to send your CV and motivation to sepideh.latifi@laco.be with reference to this vacancy."
"Biztory ","junior analytics consultant be",FALSE,FALSE,TRUE,"You love data. You’re intellectually curious. You’re honest. Your friends describe you as “friendly,” “analytical” or just “a data geek / nerd.” You know how to tell good work from great work, and you’re passionate about doing great work and exceeding expectations. You’re a clear, confident, concise communicator - written and spoken, large group or one-on-one, English and Dutch.

You want to “excel” at turning data into visualization and turning visualizations into insights. You grok new things quickly: new business concepts, new data models, new analytical questions, and new clients. You’re eager to master the leading data visualization platform: Tableau.
If you’re like us, you are comfortable with life on the go, working at client locations from Antwerp to Zürich. You can be productive anywhere, even when clients are demanding and deadlines are looming. You self-organize and self-motivate. You love solving challenging problems, helping people find answers in data.
Lastly, you’re driven to deliver. You hit deadlines. You get stuff done.
Is that who you are? Does that sound like the kind of work you’d jump out of bed every day energized to do? Then it sounds like Biztory is the place for you.

Requirements
To summarize, here’s what it takes to be successful in this role:
Hit the road
Be analytical
Solve problems
Learn quickly
Eager to learn and master Tableau
Communicate well
Wrangle information
Understand businesses
Make clients happy
Benefits
Getting things done is what we call the “Biztory Way.” It’s a mindset at the core of our team culture. We’re the sort of people who read about complex math - for fun! Some of us have tattoos. Some drive Teslas. Some play guitar. Our regular team events feature knowledge-sharing, great food and drink, and competitive activities.

What is this “Biztory”? Are we a big company? A plucky startup with a tight-knit team? Both!

See, we have the best of both worlds. We’re a small, agile firm with the flexibility to chart the right course - our own course - and react quickly to the changing winds of the market. Yet we have the backing and strength of a large company: Biztory is one of the more than 300 companies in the Cronos Group. Cronos is a 25-year-old Belgian firm with entrepreneurship in its DNA. Privately held, Cronos is 4,300+ people strong with companies doing everything from analytics to coding to UX to video games. Besides the stability of the Cronos “platform,” we also benefit from the deep tech expertise at our sister companies. In fact, we regularly exchange knowledge and skills within Cronos as we collaborate on projects. This is a win for our clients: odds are, there’s a Cronos company that does whatever they need. And it’s a win for you: tremendous upward mobility into entrepreneurship, management, private equity, and other tech and business opportunities within the Group.
So let’s recap:
Learn from the best people
Work with the best clients
Get on a fast and flexible career track
Management
Expert track
Pre-sales
Still interested? Is this the right team for you? Let’s chat!"
"EY ","data analytics & rpa consultant",TRUE,FALSE,TRUE,"In order to support the growth of our FAAS practice we are hiring Data Analytics and RPA Consultants.

The service offering of our team is structured around four pillars:

Financial accounting and reporting excellence (Financial accounting excellence, Accounting compliance services (gaap conversion)).
Improve your accounting through IT and process (Consolidation and reporting, Advanced processes and data analytics).
Meet regulatory, governance and financing related needs (Corporate treasury, Corporate governance and regulation, Transaction accounting).
Address other audit, attest & accounting impacts (Audit remediation, Data intelligence, Training services for business professionals). Your responsibilities :

Provide data analytics services to help clients solve business problems, drive value, and gain strategy and insight from data. Use advanced data analysis techniques that leverage technology to process large volumes of data to perform complex computations in a scalable, reproducible and automated manner. Support information intelligence, including the collection, storage, usage and quality of information. Work as a key member of our team to implement integrated enterprise-wide reporting solutions for data transformation and delivery. Perform data analytics to help solve business challenges and achieve data automation, reconciliation, traceability, lineage and transparency. Use data analytics to provide actionable, timely and accurate data to drive business insights around technology enablement, digital transformation (e.g. RPA) and enterprise intelligence.

Manage and motivate teams with diverse skills and backgrounds, consistently delivering quality client services by monitoring progress. Demonstrate in-depth technical capabilities and professional knowledge. Maintain long-term client relationships and networks and cultivate business development opportunities.

Your profile:

Holding a degree in Computer Science, Data Science, Applied Sciences, (Commercial) Engineering or any other relevant field
Experience in Data Analysis, Business Intelligence, Business Analysis, process mapping, processes integration or process re-engineering
Experience using at least one of these scripting language and tool : SQL, C++, C#, R, Python, Alteryx, ClickView, Tableau, Power BI,…
Fluency in English and French or Dutch.

While not a must, hands-on experience in some of the following areas is a major differentiator:

Robotics automation tools (Blueprism, Ui-path, Automation Anywhere) or prior software development experience
Previous exposure to Blackline is a plus

Our offer :



A career with EY is not comparable with any other; with us, your competencies and your areas of interest will determine your future, so we offer you:

A career path within a global leading consulting and audit firm, which will allow you to work with prominent national and global institutions
A dynamic working environment with room for personal development and a position with a high degree of autonomy and responsibility
Challenging project journeys within a wide range of service offerings
An environment that continuously stimulates personal development by tailor-made trainings.
A clear career path and the opportunity to become part of a dynamic and growing team
A competitive remuneration package including extended fringe benefits.

About EY :

EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team up to deliver on our promises to all of our stakeholders. In doing so, we play a critical role in building a better working world for our people, for our clients and for our communities.

With this breadth of service offerings you have the opportunity to develop your career through a variety of experiences, mentoring and formal learning to ensure our employee value proposition – Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime – is a reality."
"ictjob.be ","clearsource - data scientist consultant",FALSE,FALSE,TRUE,"Notre client basé à Bruxelles est à la recherche d'un Data Scientist freelance pour sa branche Data & Analytics.

Mission

Vous êtes en charge l'exploitation de données afin d'être en mesure de proposer des solutions adaptés aux clients le tout dans le but d'améliorer leur satisfaction.

Vous prenez part à l'analyse des communications clients (plusieurs supports) afin d'élaborer des rapports mettant en évidence la loyauté ou au contraire l'instabilité

Vous mettez en place un outil de pilotage permettant aux clients de comprendre leur position sur le marché

Profil

Bonne connaissance des outils d'analyse data (BO, Tableau)

Compétence en programmation (R ou Python de préférence)

Passionné de Machine Learning, vous savez interpréter les données

Idéalement une expérience dans le secteur financier

Vous maitrisez parfaitement le français et vous êtes à l'aise en anglais

Détails

Durée de la mission : 3 mois avec possibilité d'extension.

Début du contrat : Immédiatement

Si vous êtes intéressé et que vous maitrisez les compétences mentionnées plus haut, n'hésitez pas à me contacter (avec votre CV) via le bouton ci-dessous."
"SUEZ ","data analyst (h/f)",TRUE,TRUE,TRUE,"CB21 Paris La défense

CDI

 req2590

16 Place de L'Iris
Courbevoie, ÎLE-DE-FRANCE, 92040
France
Présent sur les 5 continents, fort de ses 90 000 collaborateurs, SUEZ est un groupe de services et de solutions industrielles spécialisé dans la valorisation et la sécurisation des ressources. SUEZ Recyclage & Valorisation France propose des solutions de gestion et de valorisation matière, énergétique et biologique de tous types de déchets pour produire de nouvelles ressources. Les équipes de cette activité contribuent à la collecte, au tri, au démantèlement, au recyclage, à la valorisation et la commercialisation de nouvelles ressources et des services spécialisés sur sites et industriels.

Dans ce contexte nous recherchons un/une :
Data Analyst (H/F)

Dans un contexte de grande transformation de l’Entreprise, SUEZ RV France a souhaité se doter d’un socle applicatif (reposant sur un data lake) et d’une équipe spécialisée dans la donnée. A ce titre le pôle analytics recherche un(e) data analyst pour renforcer l’équipe en place.
Rattaché à la Filière SI de SUEZ RV France, le data analyst est en charge de l’interaction avec les métiers et de la réalisation des outils pour les besoins d’analyse de données et de reporting.
Missions :Formaliser le besoin en termes de sources de données, d’algorithme d’analyse et de format de restitution (ex : sous forme de maquette ou prototype).Assurer le rôle de valorisation des données en se basant sur le Socle Data.Sélectionner les données et l’outillage nécessaires à la réalisation de reporting et de tableaux de bord.Utiliser des outils algorithmiques afin de parvenir à des modélisations statistiques.Mettre au point, publier les algorithmes et les formats de visualisation (IHM, rapports, …).Participer aux travaux d’amélioration continue de la qualité des données.Collaborer avec les autres Data Analysts afin de valider de façon croisée les livrables produits par chacun.Réaliser des activités de veille des solutions du marché.
Ce rôle peut inclure également les responsabilités de Responsable Application Métier (Product Owner) pour le périmètre socle Data :Responsable de bout-en-bout du service proposé au métier.Référent métier / fonctionnel du socle Data.Assurer la formation à l’utilisation des outils qu’il/elle développe.Collaborer avec le Pilote Opérationnel des Applications du socle échanges & data pour le MCO et l’évolution du Socle Data.Animer la démarche pour améliorer, sécuriser la qualité des données mise à disposition par le socle data.

Profil :
Formation initiale : supérieure (Ingénieur, Ecole de commerce ou équivalent).
Vous avez une expérience de 5 ans minimum en analyse de données.
Vous maîtrisez les outils de DataVisualization et avez idéalement mis en place des solutions SI de Business Intelligence.
Doté(e) de solides qualités relationnelles, vous avez un bon contact humain et aimez le travail en équipe. Rigueur, réactivité et organisation sont des qualités qui vous caractérisent.
La connaissance d’outils comme QlikView, Power BI ou encore SAP Business Object serait un plus pour le poste.
Une spécialité sur un ou des domaines métiers serait appréciée.
Prêt pour la révolution de la ressource ?"
"Visser & van Baars ","data scientist",TRUE,FALSE,TRUE,"Vaste kracht
Brussel
Data Scientist Consultant
Het bedrijf
Onze klant is een digitaal agentschap dat zich focust op o.a. Actionable insights & smart Solutions en heeft ook een consultancy afdeling. Met een kantoor in Gent en in Brussel zijn ze actief in verschillende industrieën zoals retail, health, banking, etc. Teamspirit en persoonlijke groei is enorm belangrijk binnen deze organisatie. Dit merk je op verschillende manieren: ze hebben uitdagende projecten bij topklanten, geven trainingen en coachings door seniors en je kan er je eigen carrièreplan samenstellen aangepast op jouw ambities. Ze geloven in de ‘Work hard’ mentaliteit maar vinden het minstens even belangrijk om het ‘Play hard’ gedeelte hieraan te koppelen. Teambuildings en afterwork drinks samen met de collega’s mogen hier dus niet ontbreken!
De functie
Als Data Scientist consultant zal jij de sparringpartner zijn van de klanten. Je komt terecht in een goed samenhangend team dat hun ervaringen onder elkaar deelt. Bedrijven worden dagelijks geconfronteerd met complexe marketing- en productieprojecten rond voorspellingen en consumentengedrag. Het is dus jouw taak om hen te helpen de juiste beslissingen te nemen op basis van correcte data. Ja zal verantwoordelijk zijn voor de implementatie van het data-extractie- en transformatieproces. Aan de hand van je statistische kennis kan je voorspellende modellen bouwen en kan je zo complexe correlaties blootleggen.
Jouw profiel
Je bent iemand die zich vertrouwt voelt in business intelligence en big data. Jouw persoonlijke interesse in data maakt van jou de perfecte kandidaat voor deze rol. Je hebt een open mindset, past je snel aan en staat open om nieuwe toolings te leren. Daarnaast ben je communicatief vaardig en heb je er geen probleem mee om als sparring partner te fungeren voor de klanten. Je hebt ervaring in het Big Data domein en technologieen als Cortana, Hadoop, Spark, SAS, R en Python. Kennis van Tableau en Power BI zijn een plus. Je bent Nederlandstalig en hebt geen probleem om je uit te drukken in het Engels. Daarnaast kan je goed samenwerking in team en heb je geen probleem met de “work hard, play hard” instelling!"
"Fluvius ","data architect - brussel",TRUE,FALSE,FALSE,"Data Architect - BrusselK.ATR00043
De Belgische energiedistributienetbedrijven voor de gas- en elektriciteitsmarkt Fluvius, RESA, Ores en Sibelga hebben ATRIAS opgericht met als doel enerzijds de standaarden voor informatie-uitwisseling in het kader van de geliberaliseerde marktprocessen uit te werken en te beheren, en anderzijds een nieuwe federale ‘Central Market System’ applicatie te ontwikkelen.
Met de invoering van deze standaarden en het nieuwe Central Market System moet de uitwisseling van gegevens op de Belgische energiemarkt tussen leveranciers, transportnet- en distributienetbeheerders vlotter verlopen.
-

Fluvius is verantwoordelijk voor de rekrutering en selectie van de Atrias-medewerkers.
Ter versterking van het team te Brussel (naast het Centraal Station) zijn wij momenteel op zoek naar een:

Data Architect


Algemene Verantwoordelijkheden:

Je verwerft, onderhoudt en deelt expertise binnen jouw verantwoordelijkheidsdomein
Je zorgt voor het uitbouwen en onderhouden van een goede relatie met verschillende interne en externe partijen
Je challenget de vooropgestelde ICT-applicaties conform de gemaakte afspraken en noden van de klant
Je analyseert vastgestelde problemen en werkt oplossingen uit voor het toegewezen expertisedomein
Vanuit je eigen expertise werk je mee aan multidisciplinaire werkgroepen en projecten. Je levert hiervoor de nodige input
Je capteert, analyseert en beschrijft de behoeften bij informatievragen of meldingen m.b.t. ICT- applicaties

Specifieke Verantwoordelijkheden:

Je modelleert logische en fysieke data en informatiemodellen voor het volledige applicatielandschap (inclusief de rapporteringsomgeving)
Je modelleert UMIG en UMIG DGO berichten voor de uitwisseling van gegevens in de geliberaliseerde energiemarkt
Je staat in voor het controleren en opvolgen van de kwaliteit van de opgeleverde modellen: op niveau business processen, functioneel ontwerp, data- en informatiemodellen, architectuurmodellen volgens de Atrias modelleringsstandaarden en metamodellen
Je staat in voor het onderhouden en uitbreiden van de modelleringstool Sparx Enterprise Architect
Je analyseert de rapporteringsbehoeften van de DGOs en zorgt voor de implementatie ervan in de Microsoft BI omgeving

Profiel:

Je hebt een master of een bachelor, bij voorkeur in ICT of je bent gelijkwaardig door ervaring
Je hebt ervaring inzake business process modellering, functioneel ontwerp, data modellering en/of modellering van applicatie architectuur. Je bent bereid om verdere expertise uit te bouwen in deze kennisdomeinen
Je hebt kennis van of je bent gecertificeerd in één of meerdere van volgende modelleringsstandaarden: UML, BPMN, Archimate, ER diagrammen
Je hebt kennis van of je bent gecertificeerd in één of meerdere enterprise architecture frameworks (TOGAF, Zachman, ...).
Je hebt kennis van (technische) standaarden en protocollen voor informatie uitwisseling in een B2B context (UN/CEFACT, XML Schema, WSDL, SOAP protocol stack, ...)
Kennis van Enterprise Integration Patterns is een pluspunt
Kennis van de Microsoft Business Intelligence omgeving (SSIS, SSAS, SSRS, PowerBI) is een pluspunt
Je beschikt over een goed leervermogen zodat je je snel de bijzonderheden van Atrias eigen kan maken en een basiskennis van haar specifieke applicaties te verwerven
Je bent goed georganiseerd, werkt efficiënt, nauwkeurig en oplossingsgericht
Je bent flexibel
Je bent klant- en resultaatgericht
Je beheerst zeer goed het Nederlands of het Frans zowel mondeling als schriftelijk. Een goed begrip van de andere landstaal is een must
Je hebt kennis van technisch Engels
Je beschikt over uitstekende redactionele en communicatieve vaardigheden
Aanbod:

Wij bieden je een totaalpakket dat tot de beste van de markt behoort:
Een boeiende job binnen een stabiele en dynamische werkomgeving.
Talrijke ontwikkelingsmogelijkheden, o.a. door permanente begeleiding en professionele opleidingen.
Een flexibele arbeidsregeling met aandacht voor werk en privé.
Een aantrekkelijk salaris, aangevuld met extralegale voordelen zoals maaltijdcheques, hospitalisatieverzekering, aanvullend pensioenplan, bedrijfswagen, …

Contact:
Michèle Braemscheute: 09-263 45 53

Interesse?
Solliciteer online




Jobcategorie ICT
LocatieBelgië-Brussel
Organisatie Atrias

Type contract Vast dienstverband"
"Contribute Group ","data visualizer",TRUE,FALSE,TRUE,"Creativiteit, data, communicatie en technologie zijn maar enkele raakvlakken aan je interesseveld, met gemak schud je wat visuele computerkunstjes uit je mouw en je hebt al wat professionele kilometers op je teller. Als een data visualizer, ben je de creatieve technoloog die in staat is om complexe datasets te visualiseren in betekenisvolle UI en rapportage.
Wat zeker is: je hebt begrepen dat big data een steeds grotere rol speelt in steeds meer onderdelen van het dagelijkse leven. Deze boot wil je niet missen.Jobomschrijving
Je werkt samen met een team van data scientists.
Als creatieve techneut sta je in voor de visualisatie van complexe datasets in betekenisvolle UI en rapportage.
Innovatieve inzichten giet je in aantrekkelijke presentaties waarin user experience en adaptatie centraal staan.
Waardevolle inzichten, resultaten en nieuwe benaderingen stel je voor aan verschillende stakeholders.
Jouw profiel
Je denkt out-of-the-box en begrijpt dat data het nieuwe goud is.
Je communicatievaardigheden heb je op een rijtje, je publiek neem je zo mee in een dataverhaal.
Je bent vertrouwd met visualisatietools en je bent in staat data te interpreteren.
Mogelijk heb je al wat zakelijke inzichten opgedaan in digitale marketing, sales of andere afdelingen.
Als consultant reis je naar de maan en terug om je doel te bereiken.
In een ideale wereld ken je ook nog enkele kneepjes van: Tableau, Clickview, Power BI, en d3.js; statistiek en regressies; UX, grafische vormgeving, prototyping en storytelling.
Ons aanbod
Ons aanbod
Wij bieden je een energieke en uitdagende werkomgeving waar collega's en klanten centraal staan.
We ondersteunen jouw evolutie: een long-term groeiplan gebaseerd op je interesses bovenop de juiste coaching en training, en er is een overload aan koffie, vers fruit en boterhammen.
Ook na de arbeid blijven we sociaal: events op bedrijfs- en groepsniveau maken dat je de volgende dag met nog meer drift je werk begint.
Daarnaast biedt Vectr.Consulting uiteenlopende mogelijkheden tot initiatief en ondernemerschap, een competitief salarispakket en uiteraard een stel gepassioneerde collega’s!"
"YOOX NET","operations business intelligence analyst",TRUE,FALSE,FALSE,"The Role:
The Operations Planning team supports YOOX NET-A-PORTER’s Operational Management team with analysis of operational performance and modelling of expected resource requirements. This role will be responsible for developing our reporting capabilities and deriving new insight from a variety of data sources, in a fast paced operational environment. It offers the chance to apply creative solutions to diverse real world problems and its outputs will help to drive operational decision making globally. This is the perfect next step for a self-motivated and experienced analyst who wants to apply their experience of data manipulation or visualisation in a rapidly growing, multi-site business.

Key Responsibilities:
Developing our reporting capability and finding insight in our operational data.
Operational performance reporting, from annual reviews to near-real time dash-boarding.
Working alongside the group Business Intelligence team to ensure the accuracy of operational reporting metrics and to identify opportunities for reporting improvement.
Proactively identifying and quantifying opportunities to improve service levels and operational efficiency.
Responding to ad hoc business queries, and supporting operational teams to understand their own performance.

Skills and Experience:
Graduate from a top-tier university with 1-2 years of work experience in a similar analytical role.
Experience in Logistic company would be considered a plus.
Expertise in SQL and able to communicate the results of your work with visualisation tools such as Power BI / MicroStrategy.
Excellent analytical skills, with evidence of delivering insight from a variety of quantitative and qualitative data.
Experience of working with database and data warehouse infrastructures and their administrators.
Motivated to find the right solution to the business problem, and to go beyond simply presenting the numbers.
Able to communicate with a wide variety of stakeholders, from defining the problem in our distribution centres to presentation of the results to our management team.
Able to use Microsoft Excel to an advanced level where necessary.
Fluent both in Italian and English.
Experience in a programming in Python / R / VBA a strong advantage.

Location : you will be based in our logistic plant in Bologna."
